id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
pe_cpe_catalog8_1,,01,"Sistema al valor (Apendice IV, lit. A – T.U.O IGV e ISC) ",,PE.CPE.CATALOG8,,,
pe_cpe_catalog8_2,,02,"Aplicacion del Monto Fijo (Apendice IV, lit. B – T.U.O IGV e ISC)",,PE.CPE.CATALOG8,,,
pe_cpe_catalog8_3,,03,"Sistema de Precios de Venta al Publico (Apendice IV, lit C – TUO IGV e ISC)",,PE.CPE.CATALOG8,,,
pe_cpe_catalog9_1,,01,Anulación de la Operación,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_2,,02,Anulación por error en el RUC,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_3,,03,Corrección por error en la descripción,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_4,,04,Descuento Global,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_5,,05,Descuento por item,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_6,,06,Devolución total,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_7,,07,Devolución por item,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_8,,08,Bonificación,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_9,,09,Disminución en el valor,,PE.CPE.CATALOG9,,,
pe_cpe_catalog9_10,,10,Otros conceptos,,PE.CPE.CATALOG9,,,
pe_cpe_catalog10_1,,01,Intereses por mora,,PE.CPE.CATALOG10,,,
pe_cpe_catalog10_2,,02,Aumento del valor,,PE.CPE.CATALOG10,,,
pe_cpe_catalog10_3,,03,Penalidades/ otros conceptos,,PE.CPE.CATALOG10,,,
pe_cpe_catalog11_1,,01,Gravado,,PE.CPE.CATALOG11,,,
pe_cpe_catalog11_2,,02,Exonerado,,PE.CPE.CATALOG11,,,
pe_cpe_catalog11_3,,03,Inafecto,,PE.CPE.CATALOG11,,,
pe_cpe_catalog11_4,,04,Exportación,,PE.CPE.CATALOG11,,,
pe_cpe_catalog11_5,,05,Gratuitas,,PE.CPE.CATALOG11,,,
pe_cpe_catalog12_1,,04,Ticket de Salida – ENAPU,,PE.CPE.CATALOG12,,,
pe_cpe_catalog12_2,,05,Codigo SCOP,,PE.CPE.CATALOG12,,,
pe_cpe_catalog12_3,,99,Otros,,PE.CPE.CATALOG12,,,
pe_cpe_catalog12_4,,01,Factura – emitida para corregir RUC,,PE.CPE.CATALOG12,,,
pe_cpe_catalog12_5,,02,Factura – emitida por anticipos,,PE.CPE.CATALOG12,,,
pe_cpe_catalog12_6,,03,Boleta de Venta – emitida por anticipos,,PE.CPE.CATALOG12,,,
